CHAP 171116/1756 27.05°S 52.60°W
Pres, Altura, Tempe, Orvalho, DireçãoVento,  Velocidade 
863.72, 1334.89, 22.35, 16.48, 304.91, 23.49
863.16, 1340.66, 22.29, 16.54, 304.84, 23.50
862.60, 1346.35, 22.22, 16.58, 304.79, 23.52
862.02, 1351.93, 22.15, 16.58, 304.76, 23.54
861.48, 1357.35, 22.09, 16.58, 304.74, 23.57
860.98, 1362.72, 22.03, 16.58, 304.74, 23.59
860.46, 1368.34, 21.98, 16.60, 304.76, 23.61
859.84, 1374.38, 21.93, 16.65, 304.79, 23.64
859.18, 1380.64, 21.89, 16.67, 304.84, 23.67
858.57, 1386.76, 21.84, 16.66, 304.91, 23.70
858.02, 1392.54, 21.78, 16.64, 304.99, 23.73
857.47, 1398.01, 21.72, 16.60, 305.08, 23.77
856.98, 1403.30, 21.67, 16.58, 305.18, 23.81
856.47, 1408.70, 21.61, 16.56, 305.30, 23.84
855.89, 1414.37, 21.56, 16.55, 305.42, 23.88
855.30, 1420.27, 21.50, 16.55, 305.55, 23.92
854.70, 1426.18, 21.44, 16.55, 305.68, 23.96
854.14, 1431.97, 21.38, 16.54, 305.81, 24.01
853.59, 1437.64, 21.33, 16.54, 305.94, 24.05
853.04, 1443.28, 21.27, 16.55, 306.07, 24.09
852.49, 1449.01, 21.22, 16.55, 306.20, 24.13
851.90, 1454.87, 21.17, 16.53, 306.32, 24.18
851.31, 1460.77, 21.12, 16.51, 306.43, 24.22
850.75, 1466.56, 21.07, 16.50, 306.54, 24.26
850.19, 1472.19, 21.02, 16.49, 306.64, 24.30
849.66, 1477.66, 20.97, 16.47, 306.73, 24.34
849.16, 1483.11, 20.91, 16.45, 306.80, 24.38
848.60, 1488.73, 20.86, 16.46, 306.87, 24.42
848.01, 1494.51, 20.81, 16.47, 306.92, 24.46
847.43, 1500.29, 20.75, 16.45, 306.97, 24.49
846.89, 1506.04, 20.70, 16.43, 307.00, 24.52
846.36, 1511.86, 20.66, 16.41, 307.02, 24.55
845.75, 1517.92, 20.61, 16.38, 307.03, 24.58
845.10, 1524.13, 20.56, 16.37, 307.03, 24.60
844.51, 1530.25, 20.50, 16.36, 307.03, 24.63
843.96, 1536.26, 20.45, 16.35, 307.01, 24.65
843.37, 1542.26, 20.39, 16.34, 306.98, 24.67
842.77, 1548.26, 20.33, 16.32, 306.95, 24.69
842.20, 1554.20, 20.27, 16.30, 306.92, 24.71
841.63, 1560.09, 20.22, 16.29, 306.87, 24.72
841.05, 1566.01, 20.16, 16.29, 306.83, 24.74
840.50, 1572.04, 20.10, 16.30, 306.79, 24.76
839.87, 1578.27, 20.04, 16.30, 306.74, 24.78
839.23, 1584.54, 19.98, 16.27, 306.69, 24.79
838.65, 1590.65, 19.92, 16.26, 306.65, 24.81
838.08, 1596.61, 19.86, 16.25, 306.61, 24.83
837.53, 1602.60, 19.80, 16.23, 306.58, 24.85
836.92, 1608.81, 19.74, 16.21, 306.55, 24.88
836.29, 1615.24, 19.68, 16.20, 306.53, 24.90
835.64, 1621.78, 19.63, 16.21, 306.51, 24.92
834.98, 1628.26, 19.57, 16.21, 306.50, 24.95
834.43, 1634.63, 19.51, 16.20, 306.50, 24.98
833.83, 1641.05, 19.45, 16.20, 306.51, 25.01
833.16, 1647.51, 19.38, 16.19, 306.52, 25.04
832.52, 1653.70, 19.32, 16.17, 306.55, 25.07
831.97, 1659.36, 19.25, 16.14, 306.59, 25.11
831.55, 1664.63, 19.19, 16.10, 306.63, 25.14
831.05, 1670.01, 19.13, 16.08, 306.69, 25.17
830.44, 1675.79, 19.07, 16.08, 306.76, 25.20
829.84, 1681.76, 19.01, 16.07, 306.83, 25.24
829.28, 1687.75, 18.95, 16.08, 306.91, 25.27
828.71, 1693.71, 18.89, 16.07, 307.00, 25.29
828.14, 1699.77, 18.84, 16.06, 307.10, 25.32
827.56, 1706.03, 18.78, 16.05, 307.21, 25.34
826.91, 1712.51, 18.72, 16.05, 307.32, 25.36
826.26, 1719.01, 18.67, 16.05, 307.44, 25.38
825.65, 1725.29, 18.61, 16.05, 307.56, 25.39
825.11, 1731.37, 18.55, 16.04, 307.69, 25.40
824.54, 1737.47, 18.50, 16.02, 307.82, 25.40
823.92, 1743.72, 18.45, 16.00, 307.95, 25.41
823.31, 1750.02, 18.40, 15.97, 308.08, 25.41
822.70, 1756.24, 18.35, 15.94, 308.21, 25.40
822.14, 1762.28, 18.31, 15.88, 308.34, 25.40
821.60, 1768.23, 18.27, 15.81, 308.47, 25.39
820.98, 1774.19, 18.25, 15.74, 308.60, 25.37
820.43, 1780.08, 18.22, 15.69, 308.72, 25.36
819.89, 1785.95, 18.18, 15.67, 308.84, 25.34
819.31, 1791.92, 18.14, 15.65, 308.96, 25.33
818.73, 1798.06, 18.08, 15.66, 309.07, 25.32
818.14, 1804.39, 18.02, 15.64, 309.19, 25.30
817.50, 1810.86, 17.96, 15.61, 309.30, 25.29
816.90, 1817.35, 17.91, 15.58, 309.41, 25.29
816.28, 1823.79, 17.85, 15.56, 309.52, 25.28
815.66, 1830.02, 17.79, 15.54, 309.62, 25.28
815.12, 1835.97, 17.74, 15.53, 309.73, 25.29
814.56, 1841.75, 17.68, 15.51, 309.82, 25.30
814.02, 1847.58, 17.63, 15.50, 309.92, 25.32
813.49, 1853.74, 17.58, 15.47, 310.02, 25.35
812.83, 1860.43, 17.53, 15.44, 310.11, 25.38
812.11, 1867.41, 17.48, 15.41, 310.20, 25.43
811.46, 1874.16, 17.43, 15.38, 310.29, 25.48
810.88, 1880.42, 17.38, 15.34, 310.38, 25.55
810.37, 1886.29, 17.32, 15.31, 310.46, 25.62
809.85, 1892.16, 17.27, 15.30, 310.54, 25.70
809.23, 1898.20, 17.21, 15.30, 310.61, 25.79
808.64, 1904.27, 17.16, 15.27, 310.68, 25.89
808.09, 1910.19, 17.11, 15.21, 310.73, 25.99
807.53, 1915.94, 17.06, 15.17, 310.78, 26.11
807.04, 1921.63, 17.01, 15.15, 310.81, 26.22
806.49, 1927.53, 16.96, 15.16, 310.83, 26.35
805.88, 1933.75, 16.90, 15.16, 310.83, 26.47
805.27, 1940.12, 16.85, 15.12, 310.82, 26.59
804.67, 1946.45, 16.80, 15.04, 310.80, 26.72
804.08, 1952.64, 16.75, 14.95, 310.76, 26.84
803.53, 1958.61, 16.71, 14.85, 310.71, 26.96
803.01, 1964.50, 16.67, 14.78, 310.64, 27.08
802.43, 1970.50, 16.63, 14.76, 310.56, 27.19
801.82, 1976.62, 16.58, 14.69, 310.47, 27.30
801.30, 1982.79, 16.54, 14.60, 310.37, 27.40
800.71, 1989.13, 16.50, 14.54, 310.26, 27.50
800.02, 1995.57, 16.46, 14.49, 310.15, 27.59
799.47, 2001.81, 16.42, 14.38, 310.04, 27.67
798.96, 2007.86, 16.38, 14.30, 309.94, 27.75
798.35, 2013.84, 16.33, 14.27, 309.84, 27.82
797.78, 2019.68, 16.29, 14.18, 309.74, 27.88
797.30, 2025.31, 16.27, 14.07, 309.66, 27.94
796.80, 2030.92, 16.25, 14.05, 309.60, 28.00
796.25, 2036.61, 16.21, 14.08, 309.55, 28.05
795.70, 2042.19, 16.16, 14.07, 309.52, 28.10
795.21, 2047.38, 16.11, 14.02, 309.52, 28.16
794.78, 2052.11, 16.07, 14.02, 309.54, 28.21
794.37, 2056.52, 16.04, 14.04, 309.59, 28.27
794.01, 2060.84, 16.00, 14.07, 309.67, 28.33
793.59, 2065.34, 15.97, 14.11, 309.78, 28.39
793.10, 2070.04, 15.94, 14.10, 309.91, 28.46
792.66, 2074.74, 15.91, 14.04, 310.07, 28.54
792.26, 2079.41, 15.88, 14.00, 310.26, 28.62
791.82, 2084.26, 15.84, 13.99, 310.47, 28.71
791.33, 2089.49, 15.80, 13.99, 310.70, 28.81
790.78, 2095.17, 15.76, 14.00, 310.95, 28.92
790.24, 2101.21, 15.72, 13.99, 311.21, 29.03
789.67, 2107.52, 15.67, 13.97, 311.48, 29.15
789.03, 2113.91, 15.62, 13.97, 311.75, 29.28
788.42, 2120.03, 15.57, 13.95, 312.03, 29.41
787.97, 2125.76, 15.51, 13.87, 312.30, 29.55
787.47, 2131.43, 15.46, 13.80, 312.57, 29.69
786.88, 2137.24, 15.42, 13.75, 312.84, 29.84
786.33, 2143.14, 15.38, 13.71, 313.08, 29.99
785.80, 2149.08, 15.33, 13.68, 313.32, 30.13
785.25, 2155.14, 15.29, 13.64, 313.54, 30.27
784.67, 2161.32, 15.24, 13.60, 313.74, 30.41
784.07, 2167.56, 15.19, 13.53, 313.93, 30.54
783.51, 2173.75, 15.14, 13.46, 314.10, 30.66
782.96, 2179.90, 15.11, 13.35, 314.25, 30.78
782.38, 2186.12, 15.10, 13.18, 314.38, 30.89
781.80, 2192.55, 15.09, 12.99, 314.49, 30.99
781.20, 2199.26, 15.07, 12.85, 314.59, 31.08
780.56, 2206.21, 15.04, 12.79, 314.67, 31.16
779.87, 2213.17, 15.00, 12.77, 314.73, 31.22
779.25, 2219.72, 14.95, 12.78, 314.78, 31.28
778.76, 2225.61, 14.90, 12.79, 314.82, 31.32
778.29, 2230.90, 14.85, 12.79, 314.84, 31.36
777.78, 2235.69, 14.80, 12.77, 314.86, 31.38
777.38, 2240.08, 14.75, 12.73, 314.86, 31.39
777.08, 2244.59, 14.71, 12.68, 314.87, 31.40
776.61, 2249.99, 14.67, 12.62, 314.86, 31.40
775.97, 2256.53, 14.63, 12.51, 314.85, 31.39
775.22, 2263.63, 14.60, 12.39, 314.84, 31.37
774.56, 2270.34, 14.59, 12.24, 314.83, 31.35
774.13, 2276.21, 14.57, 12.16, 314.81, 31.33
773.66, 2281.59, 14.54, 12.15, 314.80, 31.30
773.16, 2286.97, 14.48, 12.15, 314.78, 31.27
772.64, 2292.61, 14.43, 12.12, 314.76, 31.25
772.08, 2298.57, 14.37, 12.12, 314.74, 31.22
771.53, 2304.82, 14.32, 12.11, 314.72, 31.20
770.94, 2311.27, 14.26, 12.10, 314.70, 31.18
770.33, 2317.80, 14.20, 12.08, 314.68, 31.16
769.74, 2324.22, 14.14, 12.06, 314.67, 31.15
769.17, 2330.44, 14.09, 12.04, 314.65, 31.14
768.65, 2336.50, 14.03, 12.02, 314.64, 31.13
768.09, 2342.58, 13.97, 12.00, 314.63, 31.14
767.51, 2348.72, 13.91, 11.97, 314.63, 31.14
766.98, 2354.94, 13.86, 11.90, 314.62, 31.16
766.40, 2361.37, 13.81, 11.84, 314.62, 31.18
765.78, 2367.94, 13.77, 11.82, 314.62, 31.21
765.18, 2374.53, 13.72, 11.78, 314.63, 31.25
764.57, 2380.95, 13.68, 11.71, 314.64, 31.29
764.06, 2387.17, 13.64, 11.63, 314.65, 31.34
763.53, 2393.39, 13.60, 11.55, 314.67, 31.39
762.89, 2399.75, 13.58, 11.47, 314.69, 31.45
762.32, 2406.01, 13.54, 11.40, 314.72, 31.51
761.80, 2412.04, 13.50, 11.34, 314.74, 31.57
761.26, 2417.90, 13.46, 11.28, 314.77, 31.64
760.75, 2423.72, 13.42, 11.23, 314.79, 31.71
760.24, 2429.67, 13.38, 11.21, 314.82, 31.78
759.65, 2435.85, 13.33, 11.17, 314.84, 31.85
759.07, 2442.13, 13.29, 11.12, 314.86, 31.92
758.50, 2448.41, 13.25, 11.07, 314.89, 31.99
757.96, 2454.84, 13.20, 11.04, 314.91, 32.06
757.39, 2461.71, 13.14, 11.00, 314.92, 32.12
756.70, 2469.14, 13.09, 10.94, 314.93, 32.19
755.93, 2476.79, 13.05, 10.85, 314.94, 32.25
755.28, 2483.98, 13.02, 10.77, 314.94, 32.31
754.75, 2490.40, 12.99, 10.72, 314.93, 32.37
754.28, 2496.27, 12.95, 10.67, 314.92, 32.42
753.70, 2501.87, 12.90, 10.61, 314.91, 32.47
753.23, 2507.18, 12.86, 10.55, 314.89, 32.52
752.82, 2512.38, 12.81, 10.52, 314.86, 32.57
752.33, 2517.85, 12.76, 10.51, 314.83, 32.61
751.79, 2523.75, 12.71, 10.48, 314.80, 32.66
751.24, 2529.99, 12.66, 10.44, 314.76, 32.70
750.63, 2536.37, 12.62, 10.35, 314.71, 32.74
750.06, 2542.55, 12.58, 10.19, 314.67, 32.78
749.58, 2548.41, 12.56, 10.07, 314.62, 32.82
749.09, 2554.20, 12.52, 10.02, 314.57, 32.86
748.54, 2560.14, 12.49, 10.00, 314.51, 32.89
747.99, 2566.25, 12.44, 9.98, 314.46, 32.93
747.43, 2572.43, 12.39, 9.96, 314.40, 32.96
746.89, 2578.61, 12.33, 9.98, 314.35, 32.99
746.36, 2584.80, 12.27, 10.01, 314.29, 33.02
745.79, 2591.04, 12.21, 10.01, 314.23, 33.04
745.23, 2597.27, 12.16, 9.94, 314.17, 33.06
744.69, 2603.38, 12.12, 9.82, 314.11, 33.08
744.15, 2609.31, 12.10, 9.67, 314.05, 33.09
743.66, 2615.03, 12.08, 9.57, 313.98, 33.09
743.18, 2620.69, 12.05, 9.50, 313.90, 33.09
742.66, 2626.45, 12.02, 9.42, 313.83, 33.08
742.13, 2632.25, 11.98, 9.36, 313.75, 33.07
741.62, 2637.96, 11.94, 9.30, 313.67, 33.04
741.13, 2643.50, 11.91, 9.20, 313.58, 33.01
740.67, 2648.94, 11.88, 9.10, 313.49, 32.97
740.19, 2654.49, 11.84, 9.02, 313.39, 32.92
739.68, 2660.23, 11.79, 8.95, 313.29, 32.86
739.14, 2666.15, 11.76, 8.85, 313.19, 32.80
738.61, 2672.12, 11.75, 8.70, 313.08, 32.73
738.09, 2678.02, 11.74, 8.58, 312.97, 32.65
737.59, 2683.86, 11.71, 8.54, 312.86, 32.57
737.07, 2689.77, 11.67, 8.51, 312.74, 32.49
736.54, 2695.83, 11.63, 8.43, 312.62, 32.40
736.01, 2702.06, 11.60, 8.30, 312.50, 32.31
735.43, 2708.45, 11.58, 8.15, 312.38, 32.22
734.84, 2714.81, 11.57, 7.96, 312.26, 32.13
734.33, 2720.93, 11.57, 7.81, 312.14, 32.03
733.82, 2726.85, 11.55, 7.77, 312.02, 31.94
733.29, 2732.68, 11.50, 7.75, 311.91, 31.85
732.81, 2738.52, 11.46, 7.68, 311.80, 31.77
732.29, 2744.57, 11.44, 7.57, 311.70, 31.69
731.71, 2750.86, 11.43, 7.43, 311.61, 31.61
731.16, 2757.21, 11.40, 7.34, 311.52, 31.54
730.61, 2763.47, 11.36, 7.31, 311.44, 31.47
730.07, 2769.49, 11.32, 7.28, 311.36, 31.42
729.58, 2775.17, 11.26, 7.25, 311.29, 31.36
729.12, 2780.62, 11.21, 7.22, 311.22, 31.31
728.65, 2786.06, 11.16, 7.20, 311.16, 31.27
728.17, 2791.69, 11.11, 7.18, 311.10, 31.23
727.67, 2797.64, 11.06, 7.15, 311.05, 31.20
727.08, 2803.92, 11.02, 7.11, 311.00, 31.17
726.52, 2810.28, 10.97, 7.03, 310.95, 31.14
725.99, 2816.55, 10.94, 6.90, 310.91, 31.12
725.46, 2822.75, 10.92, 6.72, 310.87, 31.10
724.92, 2828.92, 10.90, 6.53, 310.83, 31.08
724.39, 2835.09, 10.88, 6.40, 310.79, 31.07
723.85, 2841.26, 10.85, 6.31, 310.76, 31.05
723.30, 2847.33, 10.82, 6.24, 310.72, 31.03
722.80, 2853.20, 10.78, 6.18, 310.70, 31.02
722.33, 2858.96, 10.74, 6.07, 310.67, 31.01
721.82, 2864.78, 10.72, 5.91, 310.65, 30.99
721.30, 2870.78, 10.69, 5.80, 310.64, 30.97
720.74, 2877.03, 10.65, 5.77, 310.63, 30.96
720.22, 2883.54, 10.60, 5.75, 310.63, 30.94
719.63, 2890.41, 10.55, 5.69, 310.64, 30.92
718.97, 2897.57, 10.50, 5.55, 310.67, 30.90
718.34, 2904.62, 10.47, 5.31, 310.70, 30.88
717.82, 2911.26, 10.45, 5.09, 310.76, 30.85
717.27, 2917.47, 10.41, 5.00, 310.82, 30.83
716.74, 2923.15, 10.37, 4.98, 310.91, 30.82
716.33, 2928.30, 10.32, 4.93, 311.01, 30.80
715.95, 2933.27, 10.29, 4.90, 311.13, 30.78
715.50, 2938.52, 10.25, 4.89, 311.26, 30.77
714.96, 2944.17, 10.22, 4.91, 311.42, 30.75
714.47, 2950.02, 10.17, 4.91, 311.59, 30.74
713.97, 2955.87, 10.12, 4.90, 311.77, 30.73
713.46, 2961.59, 10.08, 4.91, 311.97, 30.72
712.99, 2967.10, 10.04, 4.92, 312.19, 30.72
712.55, 2972.50, 10.00, 4.92, 312.41, 30.71
712.10, 2978.16, 9.96, 4.84, 312.65, 30.71
711.56, 2984.34, 9.91, 4.70, 312.89, 30.70
710.99, 2990.94, 9.87, 4.57, 313.14, 30.70
710.39, 2997.62, 9.84, 4.45, 313.39, 30.69
709.82, 3003.94, 9.82, 4.34, 313.65, 30.68
709.35, 3009.57, 9.80, 4.21, 313.90, 30.66
708.97, 3014.67, 9.78, 4.02, 314.16, 30.65
708.53, 3019.63, 9.76, 3.84, 314.40, 30.63
708.09, 3024.71, 9.76, 3.73, 314.64, 30.60
707.66, 3030.07, 9.75, 3.70, 314.88, 30.57
707.15, 3035.89, 9.71, 3.68, 315.10, 30.53
706.61, 3042.14, 9.67, 3.61, 315.32, 30.48
706.08, 3048.63, 9.64, 3.47, 315.53, 30.42
705.50, 3055.17, 9.61, 3.36, 315.73, 30.36
704.92, 3061.39, 9.58, 3.28, 315.92, 30.29
704.48, 3067.01, 9.53, 3.23, 316.10, 30.21
704.08, 3072.23, 9.48, 3.22, 316.27, 30.13
703.62, 3077.44, 9.43, 3.22, 316.43, 30.04
703.15, 3082.86, 9.37, 3.21, 316.58, 29.94
702.69, 3088.58, 9.32, 3.19, 316.73, 29.83
702.16, 3094.69, 9.26, 3.17, 316.87, 29.72
701.61, 3101.09, 9.21, 3.15, 317.00, 29.61
701.06, 3107.54, 9.16, 3.10, 317.13, 29.49
700.53, 3113.85, 9.11, 3.03, 317.25, 29.37
700.00, 3119.86, 9.06, 2.94, 317.38, 29.25
699.54, 3125.58, 9.03, 2.83, 317.50, 29.13
699.09, 3131.18, 9.00, 2.76, 317.63, 29.01
698.59, 3136.89, 8.96, 2.75, 317.75, 28.90
698.09, 3142.79, 8.90, 2.74, 317.88, 28.79
697.59, 3148.91, 8.85, 2.73, 318.02, 28.69
697.05, 3155.27, 8.79, 2.70, 318.15, 28.59
696.48, 3161.81, 8.74, 2.66, 318.28, 28.49
695.94, 3168.36, 8.68, 2.60, 318.42, 28.41
695.41, 3174.85, 8.63, 2.56, 318.56, 28.33
694.85, 3181.27, 8.59, 2.51, 318.70, 28.25
694.33, 3187.51, 8.56, 2.44, 318.84, 28.18
693.84, 3193.52, 8.55, 2.35, 318.98, 28.12
693.33, 3199.36, 8.53, 2.25, 319.12, 28.06
692.86, 3205.04, 8.51, 2.15, 319.26, 28.01
692.42, 3210.66, 8.48, 2.06, 319.40, 27.97
691.92, 3216.38, 8.44, 2.01, 319.54, 27.93
691.42, 3222.17, 8.40, 1.95, 319.68, 27.90
690.95, 3227.95, 8.36, 1.89, 319.81, 27.87
690.47, 3233.78, 8.32, 1.84, 319.93, 27.84
689.97, 3239.72, 8.27, 1.83, 320.05, 27.81
689.47, 3245.79, 8.22, 1.83, 320.17, 27.79
688.95, 3252.01, 8.16, 1.81, 320.28, 27.76
688.41, 3258.34, 8.11, 1.80, 320.38, 27.74
687.89, 3264.73, 8.05, 1.77, 320.49, 27.71
687.35, 3271.19, 7.99, 1.72, 320.59, 27.68
686.81, 3277.67, 7.94, 1.65, 320.68, 27.64
686.26, 3284.12, 7.89, 1.56, 320.77, 27.61
685.73, 3290.43, 7.84, 1.46, 320.86, 27.57
685.24, 3296.62, 7.80, 1.38, 320.94, 27.53
684.75, 3302.84, 7.75, 1.36, 321.03, 27.48
684.19, 3309.15, 7.70, 1.36, 321.11, 27.44
683.66, 3315.34, 7.64, 1.35, 321.20, 27.38
683.18, 3321.28, 7.58, 1.30, 321.30, 27.33
682.71, 3327.02, 7.53, 1.26, 321.40, 27.27
682.25, 3332.75, 7.48, 1.22, 321.50, 27.22
681.78, 3338.68, 7.43, 1.18, 321.60, 27.16
681.23, 3344.91, 7.38, 1.16, 321.70, 27.11
680.70, 3351.26, 7.32, 1.13, 321.81, 27.05
680.18, 3357.59, 7.27, 1.07, 321.92, 27.00
679.67, 3363.82, 7.21, 0.97, 322.03, 26.95
679.16, 3369.98, 7.16, 0.80, 322.15, 26.91
678.66, 3376.08, 7.13, 0.59, 322.26, 26.87
678.18, 3382.11, 7.11, 0.46, 322.38, 26.84
677.67, 3388.10, 7.06, 0.42, 322.49, 26.81
677.16, 3393.95, 7.01, 0.39, 322.59, 26.79
676.73, 3399.59, 6.96, 0.32, 322.69, 26.78
676.29, 3405.16, 6.92, 0.28, 322.78, 26.79
675.80, 3410.84, 6.86, 0.31, 322.85, 26.80
675.31, 3416.57, 6.81, 0.33, 322.91, 26.83
674.86, 3422.31, 6.74, 0.46, 322.95, 26.87
674.39, 3428.22, 6.65, 0.58, 322.98, 26.92
673.85, 3434.40, 6.58, 0.59, 322.98, 26.99
673.35, 3440.84, 6.52, 0.51, 322.97, 27.06
672.81, 3447.56, 6.47, 0.38, 322.94, 27.15
672.20, 3454.41, 6.43, 0.22, 322.88, 27.24
671.67, 3461.05, 6.39, 0.11, 322.81, 27.35
671.17, 3467.30, 6.34, 0.04, 322.72, 27.46
670.68, 3473.21, 6.29, -0.15, 322.60, 27.58
670.20, 3478.86, 6.28, -0.67, 322.47, 27.71
669.78, 3484.51, 6.34, -1.64, 322.32, 27.83
669.33, 3490.53, 6.47, -2.84, 322.16, 27.96
668.77, 3497.17, 6.54, -3.34, 321.99, 28.09
668.13, 3504.10, 6.51, -3.21, 321.80, 28.22
